year,start,flag1,team1,flag2,team2,score1,score2,round,OT,pos,pso1,pso2
1990,1990-06-25,irl,Republic of Ireland,rou,Romania,0,0,Round of 16,Y,Y,5,4
1990,1990-06-25,ita,Italy,uru,Uruguay,2,0,Round of 16,N,N,,
1990,1990-06-26,esp,Spain,yug,Yugoslavia,1,2,Round of 16,Y,N,,
1990,1990-06-26,eng,England,bel,Belgium,1,0,Round of 16,Y,N,,
1990,1990-06-30,yug,Yugoslavia,arg,Argentina,0,0,Quarter Final,Y,Y,2,3
1990,1990-06-30,ita,Italy,irl,Republic of Ireland,1,0,Quarter Final,N,N,,
1990,1990-07-01,ger,Germany FR,tch,Czechoslovakia,1,0,Quarter Final,N,N,,
1990,1990-07-01,eng,England,cmr,Cameroon,3,2,Quarter Final,Y,N,,
1990,1990-07-03,ita,Italy,arg,Argentina,1,1,Semi-Final,Y,Y,3,4
1990,1990-07-04,ger,Germany FR,eng,England,1,1,Semi-Final,Y,Y,4,3
1990,1990-07-07,ita,Italy,eng,England,2,1,Third Place,N,N,,
1990,1990-07-08,ger,Germany FR,arg,Argentina,1,0,Final,N,N,,
1994,1994-06-18,usa,United States,sui,Switzerland,1,1,Round 1 - Group A,N,N,,
1994,1994-06-18,col,Colombia,rou,Romania,1,3,Round 1 - Group A,N,N,,
1994,1994-06-22,rou,Romania,sui,Switzerland,1,4,Round 1 - Group A,N,N,,
1994,1994-06-22,usa,United States,col,Colombia,2,1,Round 1 - Group A,N,N,,
1994,1994-06-26,usa,United States,rou,Romania,0,1,Round 1 - Group A,N,N,,
1994,1994-06-26,sui,Switzerland,col,Colombia,0,2,Round 1 - Group A,N,N,,
1994,1994-06-19,cmr,Cameroon,swe,Sweden,2,2,Round 1 - Group B,N,N,,
1994,1994-06-20,bra,Brazil,rus,Russia,2,0,Round 1 - Group B,N,N,,
1994,1994-06-24,bra,Brazil,cmr,Cameroon,3,0,Round 1 - Group B,N,N,,
1994,1994-06-24,swe,Sweden,rus,Russia,3,1,Round 1 - Group B,N,N,,
1994,1994-06-28,rus,Russia,cmr,Cameroon,6,1,Round 1 - Group B,N,N,,
1994,1994-06-28,bra,Brazil,swe,Sweden,1,1,Round 1 - Group B,N,N,,
1994,1994-06-17,ger,Germany,bol,Bolivia,1,0,Round 1 - Group C,N,N,,
1994,1994-06-17,esp,Spain,kor,South Korea,2,2,Round 1 - Group C,N,N,,
1994,1994-06-21,ger,Germany,esp,Spain,1,1,Round 1 - Group C,N,N,,
1994,1994-06-23,kor,South Korea,bol,Bolivia,0,0,Round 1 - Group C,N,N,,
1994,1994-06-27,bol,Bolivia,esp,Spain,1,3,Round 1 - Group C,N,N,,
1994,1994-06-27,ger,Germany,kor,South Korea,3,2,Round 1 - Group C,N,N,,
1994,1994-06-21,arg,Argentina,gre,Greece,4,0,Round 1 - Group D,N,N,,
1994,1994-06-21,nga,Nigeria,bul,Bulgaria,3,0,Round 1 - Group D,N,N,,
1994,1994-06-25,arg,Argentina,nga,Nigeria,2,1,Round 1 - Group D,N,N,,
1994,1994-06-26,bul,Bulgaria,gre,Greece,4,0,Round 1 - Group D,N,N,,
1994,1994-06-30,gre,Greece,nga,Nigeria,0,2,Round 1 - Group D,N,N,,
1994,1994-06-30,arg,Argentina,bul,Bulgaria,0,2,Round 1 - Group D,N,N,,
1994,1994-06-18,ita,Italy,irl,Republic of Ireland,0,1,Round 1 - Group E,N,N,,
1994,1994-06-19,nor,Norway,mex,Mexico,1,0,Round 1 - Group E,N,N,,
1994,1994-06-23,ita,Italy,nor,Norway,1,0,Round 1 - Group E,N,N,,
1994,1994-06-24,mex,Mexico,irl,Republic of Ireland,2,1,Round 1 - Group E,N,N,,
1994,1994-06-28,irl,Republic of Ireland,nor,Norway,0,0,Round 1 - Group E,N,N,,
1994,1994-06-28,ita,Italy,mex,Mexico,1,1,Round 1 - Group E,N,N,,
1994,1994-06-19,bel,Belgium,mar,Morocco,1,0,Round 1 - Group F,N,N,,
1994,1994-06-20,ned,Netherlands,ksa,Saudi Arabia,2,1,Round 1 - Group F,N,N,,
1994,1994-06-25,bel,Belgium,ned,Netherlands,1,0,Round 1 - Group F,N,N,,
1994,1994-06-25,ksa,Saudi Arabia,mar,Morocco,2,1,Round 1 - Group F,N,N,,
1994,1994-06-29,mar,Morocco,ned,Netherlands,1,2,Round 1 - Group F,N,N,,
1994,1994-06-29,bel,Belgium,ksa,Saudi Arabia,0,1,Round 1 - Group F,N,N,,
1994,1994-07-02,ger,Germany,bel,Belgium,3,2,Round of 16,N,N,,
1994,1994-07-02,esp,Spain,sui,Switzerland,3,0,Round of 16,N,N,,
1994,1994-07-03,ksa,Saudi Arabia,swe,Sweden,1,3,Round of 16,N,N,,
1994,1994-07-03,rou,Romania,arg,Argentina,3,2,Round of 16,N,N,,
1994,1994-07-04,ned,Netherlands,irl,Republic of Ireland,2,0,Round of 16,N,N,,
1994,1994-07-04,bra,Brazil,usa,United States,1,0,Round of 16,N,N,,
1994,1994-07-05,nga,Nigeria,ita,Italy,1,2,Round of 16,Y,N,,
1994,1994-07-05,mex,Mexico,bul,Bulgaria,1,1,Round of 16,Y,Y,1,3
1994,1994-07-09,ita,Italy,esp,Spain,2,1,Quarter Final,N,N,,
1994,1994-07-09,ned,Netherlands,bra,Brazil,2,3,Quarter Final,N,N,,
1994,1994-07-10,bul,Bulgaria,ger,Germany,2,1,Quarter Final,N,N,,
1994,1994-07-10,rou,Romania,swe,Sweden,2,2,Quarter Final,Y,Y,4,5
1994,1994-07-13,bul,Bulgaria,ita,Italy,1,2,Semi-Final,N,N,,
1994,1994-07-13,swe,Sweden,bra,Brazil,0,1,Semi-Final,N,N,,
1994,1994-07-16,swe,Sweden,bul,Bulgaria,4,0,Third Place,N,N,,
1994,1994-07-17,bra,Brazil,ita,Italy,0,0,Final,Y,Y,3,2
1998,1998-06-10,bra,Brazil,sco,Scotland,2,1,Round 1 - Group A,N,N,,
1998,1998-06-10,mar,Morocco,nor,Norway,2,2,Round 1 - Group A,N,N,,
1998,1998-06-16,sco,Scotland,nor,Norway,1,1,Round 1 - Group A,N,N,,
1998,1998-06-16,bra,Brazil,mar,Morocco,3,0,Round 1 - Group A,N,N,,
1998,1998-06-23,sco,Scotland,mar,Morocco,0,3,Round 1 - Group A,N,N,,
1998,1998-06-23,bra,Brazil,nor,Norway,1,2,Round 1 - Group A,N,N,,
1998,1998-06-11,cmr,Cameroon,aut,Austria,1,1,Round 1 - Group B,N,N,,
1998,1998-06-11,ita,Italy,chi,Chile,2,2,Round 1 - Group B,N,N,,
1998,1998-06-17,chi,Chile,aut,Austria,1,1,Round 1 - Group B,N,N,,
1998,1998-06-17,ita,Italy,cmr,Cameroon,3,0,Round 1 - Group B,N,N,,
1998,1998-06-23,ita,Italy,aut,Austria,2,1,Round 1 - Group B,N,N,,
1998,1998-06-23,chi,Chile,cmr,Cameroon,1,1,Round 1 - Group B,N,N,,
1998,1998-06-12,ksa,Saudi Arabia,den,Denmark,0,1,Round 1 - Group C,N,N,,
1998,1998-06-12,fra,France,rsa,South Africa,3,0,Round 1 - Group C,N,N,,
1998,1998-06-18,fra,France,ksa,Saudi Arabia,4,0,Round 1 - Group C,N,N,,
1998,1998-06-18,rsa,South Africa,den,Denmark,1,1,Round 1 - Group C,N,N,,
1998,1998-06-24,fra,France,den,Denmark,2,1,Round 1 - Group C,N,N,,
1998,1998-06-24,rsa,South Africa,ksa,Saudi Arabia,2,2,Round 1 - Group C,N,N,,
1998,1998-06-12,par,Paraguay,bul,Bulgaria,0,0,Round 1 - Group D,N,N,,
1998,1998-06-13,esp,Spain,nga,Nigeria,2,3,Round 1 - Group D,N,N,,
1998,1998-06-19,nga,Nigeria,bul,Bulgaria,1,0,Round 1 - Group D,N,N,,
1998,1998-06-19,esp,Spain,par,Paraguay,0,0,Round 1 - Group D,N,N,,
1998,1998-06-24,esp,Spain,bul,Bulgaria,6,1,Round 1 - Group D,N,N,,
1998,1998-06-24,nga,Nigeria,par,Paraguay,1,3,Round 1 - Group D,N,N,,
1998,1998-06-13,ned,Netherlands,bel,Belgium,0,0,Round 1 - Group E,N,N,,
1998,1998-06-13,kor,South Korea,mex,Mexico,1,3,Round 1 - Group E,N,N,,
1998,1998-06-20,ned,Netherlands,kor,South Korea,5,0,Round 1 - Group E,N,N,,
1998,1998-06-20,bel,Belgium,mex,Mexico,2,2,Round 1 - Group E,N,N,,
1998,1998-06-25,bel,Belgium,kor,South Korea,1,1,Round 1 - Group E,N,N,,
1998,1998-06-25,ned,Netherlands,mex,Mexico,2,2,Round 1 - Group E,N,N,,
1998,1998-06-14,yug,Yugoslavia,irn,Iran,1,0,Round 1 - Group F,N,N,,
1998,1998-06-15,ger,Germany,usa,United States,2,0,Round 1 - Group F,N,N,,
1998,1998-06-21,ger,Germany,yug,Yugoslavia,2,2,Round 1 - Group F,N,N,,
1998,1998-06-21,usa,United States,irn,Iran,1,2,Round 1 - Group F,N,N,,
1998,1998-06-25,ger,Germany,irn,Iran,2,0,Round 1 - Group F,N,N,,
1998,1998-06-25,usa,United States,yug,Yugoslavia,0,1,Round 1 - Group F,N,N,,
1998,1998-06-15,rou,Romania,col,Colombia,1,0,Round 1 - Group G,N,N,,
1998,1998-06-15,eng,England,tun,Tunisia,2,0,Round 1 - Group G,N,N,,
1998,1998-06-22,col,Colombia,tun,Tunisia,1,0,Round 1 - Group G,N,N,,
1998,1998-06-22,rou,Romania,eng,England,2,1,Round 1 - Group G,N,N,,
1998,1998-06-26,rou,Romania,tun,Tunisia,1,1,Round 1 - Group G,N,N,,
1998,1998-06-26,col,Colombia,eng,England,0,2,Round 1 - Group G,N,N,,
1998,1998-06-14,jam,Jamaica,cro,Croatia,1,3,Round 1 - Group H,N,N,,
1998,1998-06-14,arg,Argentina,jpn,Japan,1,0,Round 1 - Group H,N,N,,
1998,1998-06-20,jpn,Japan,cro,Croatia,0,1,Round 1 - Group H,N,N,,
1998,1998-06-21,arg,Argentina,jam,Jamaica,5,0,Round 1 - Group H,N,N,,
1998,1998-06-26,jpn,Japan,jam,Jamaica,1,2,Round 1 - Group H,N,N,,
1998,1998-06-26,arg,Argentina,cro,Croatia,1,0,Round 1 - Group H,N,N,,
1998,1998-06-27,bra,Brazil,chi,Chile,4,1,Round of 16,N,N,,
1998,1998-06-27,ita,Italy,nor,Norway,1,0,Round of 16,N,N,,
1998,1998-06-28,nga,Nigeria,den,Denmark,1,4,Round of 16,N,N,,
1998,1998-06-28,fra,France,par,Paraguay,1,0,Round of 16,Y,N,,
1998,1998-06-29,ger,Germany,mex,Mexico,2,1,Round of 16,N,N,,
1998,1998-06-29,ned,Netherlands,yug,Yugoslavia,2,1,Round of 16,N,N,,
1998,1998-06-30,arg,Argentina,eng,England,2,2,Round of 16,Y,Y,4,3
1998,1998-06-30,rou,Romania,cro,Croatia,0,1,Round of 16,N,N,,
1998,1998-07-03,ita,Italy,fra,France,0,0,Quarter Final,Y,Y,3,4
1998,1998-07-03,bra,Brazil,den,Denmark,3,2,Quarter Final,N,N,,
1998,1998-07-04,ger,Germany,cro,Croatia,0,3,Quarter Final,N,N,,
1998,1998-07-04,ned,Netherlands,arg,Argentina,2,1,Quarter Final,N,N,,
1998,1998-07-07,bra,Brazil,ned,Netherlands,1,1,Semi-Final,Y,Y,4,2
1998,1998-07-08,fra,France,cro,Croatia,2,1,Semi-Final,N,N,,
1998,1998-07-11,ned,Netherlands,cro,Croatia,1,2,Third Place,N,N,,
1998,1998-07-12,bra,Brazil,fra,France,0,3,Final,N,N,,
2002,2002-05-31,fra,France,sen,Senegal,0,1,Round 1 - Group A,N,N,,
